"","ID","Connective","ReactionTime1","ReactionTime2","ReactionTime3","TrialID","Label","Wordform","Answeraccuracy","Truthvalue","Sentenceform","Group","Order","OrderBinary","OrderTrials","LogReactionTime1"
"131","6116895015bbaf252b477024","so",930,958,957,"T1.57","test","CVV",1,"J","PositiveNegative","A","first","first",8,6.8351845861473
"132","6116895015bbaf252b477024","and",1136,1290,911,"T1.6","test","CVC",1,"F","PositivePositive","A","first","first",9,7.0352685992811
"133","6116895015bbaf252b477024","and",810,1350,1063,"T1.22","test","CVV",1,"J","PositiveNegative","A","first","first",10,6.69703424766648
"134","6116895015bbaf252b477024","but",1247,1609,1852,"T1.45","test","VCC",1,"F","PositivePositive","A","first","first",11,7.12849594568004
"135","6116895015bbaf252b477024","so",2093,1189,1167,"T1.63","test","VCV",1,"J","PositiveNegative","A","first","first",12,7.646353722446
"136","6116895015bbaf252b477024","and",1021,1243,1662,"T1.14","test","VCV",1,"F","PositiveNegative","A","first","first",13,6.92853781816467
"137","6116895015bbaf252b477024","but",1081,1122,1366,"T1.32","test","CVC",1,"F","PositivePositive","A","first","first",15,6.98564181763921
"138","6116895015bbaf252b477024","and",1022,1078,1070,"T1.13","test","VCV",1,"J","PositivePositive","A","first","first",18,6.92951677076365
"139","6116895015bbaf252b477024","and",972,1287,917,"T1.17","test","VCC",1,"F","PositiveNegative","A","first","first",19,6.87935580446044
"140","6116895015bbaf252b477024","so",797,866,638,"T1.64","test","VCV",1,"J","PositivePositive","A","first","first",23,6.68085467879022
"141","6116895015bbaf252b477024","but",1157,1083,853,"T1.27","test","CVC",1,"J","PositivePositive","A","first","first",24,7.05358572719368
"142","6116895015bbaf252b477024","so",1083,1016,919,"T1.66","test","VCC",1,"F","PositivePositive","A","first","first",25,6.98749024700099
"143","6116895015bbaf252b477024","and",913,960,904,"T1.10","test","CVV",1,"F","PositiveNegative","A","first","first",26,6.81673588059497
"144","6116895015bbaf252b477024","and",1136,713,810,"T1.12","test","CVV",1,"F","PositivePositive","A","first","first",30,7.0352685992811
"145","6116895015bbaf252b477024","so",912,974,782,"T1.51","test","CVC",1,"J","PositiveNegative","A","first","first",32,6.81563999007433
"146","6116895015bbaf252b477024","and",913,936,857,"T1.18","test","VCC",1,"F","PositivePositive","A","first","first",33,6.81673588059497
"147","6116895015bbaf252b477024","but",745,920,986,"T1.37","test","CVV",1,"F","PositiveNegative","A","first","first",34,6.61338421837956
"148","6116895015bbaf252b477024","and",913,738,775,"T1.21","test","CVV",1,"J","PositiveNegative","A","first","first",35,6.81673588059497
"149","6116895015bbaf252b477024","but",858,1000,844,"T1.44","test","VCV",1,"F","PositiveNegative","A","first","first",36,6.75460409948796
